# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 13 Manufacturer: OPPO Model: CPH2371
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,1726564187000,64,40,5,8,1561097980,20.20,139.0,50.0,1,0,0,20.2
Status,1726564187000,64,41,5,36,1561097980,25.40,214.0,50.0,1,0,0,25.4
Status,1726564187000,64,42,5,3,1561097980,0.00,109.0,49.0,0,0,0,0.0
Status,1726564187000,64,43,5,20,1561097980,26.10,52.0,49.0,1,0,0,26.1
Status,1726564187000,64,44,5,61,1561097980,0.00,109.0,48.0,0,0,0,0.0
Status,1726564187000,64,45,5,6,1561097980,0.00,17.0,44.0,0,0,0,0.0
Status,1726564187000,64,46,5,16,1561097980,0.00,22.0,38.0,0,0,0,0.0
Status,1726564187000,64,47,5,38,1561097980,31.90,142.0,36.0,1,0,0,31.9
Status,1726564187000,64,48,5,19,1561097980,24.80,344.0,35.0,1,0,0,24.8
Status,1726564187000,64,49,5,39,1561097980,0.00,27.0,30.0,0,0,0,0.0
Status,1726564187000,64,50,5,10,1561097980,0.00,148.0,26.0,0,0,0,0.0
Status,1726564187000,64,51,5,7,1561097980,18.90,135.0,25.0,1,0,0,18.9
Status,1726564187000,64,52,5,37,1561097980,0.00,37.0,18.0,0,0,0,0.0
Status,1726564187000,64,53,5,59,1561097980,0.00,96.0,18.0,0,0,0,0.0
Status,1726564187000,64,54,5,29,1561097980,0.00,220.0,16.0,0,0,0,0.0
Status,1726564187000,64,55,5,32,1561097980,0.00,107.0,16.0,0,0,0,0.0
Status,1726564187000,64,56,5,1,1561097980,0.00,96.0,14.0,0,0,0,0.0
Status,1726564187000,64,57,5,40,1561097980,0.00,128.0,14.0,0,0,0,0.0
Status,1726564187000,64,58,5,30,1561097980,0.00,168.0,7.0,0,0,0,0.0
Status,1726564187000,64,59,5,35,1561097980,0.00,273.0,4.0,0,0,0,0.0
Status,1726564187000,64,60,5,45,1561097980,0.00,216.0,2.0,0,0,0,0.0
Status,1726564187000,64,61,4,196,1575420030,0.00,88.0,42.0,0,0,0,0.0
Status,1726564187000,64,62,4,199,1575420030,0.00,62.0,20.0,0,0,0,0.0
Status,1726564187000,64,63,4,194,1575420030,0.00,75.0,19.0,0,0,0,0.0
Fix,GPS,12.9341566667,77.5432933333,786.9,2.7666318,2.6,84.49,1726564188000,3.7,179.9,126794779000000,30.8,0,,,
Fix,FLP,12.9341557000,77.5432966000,786.9,2.6733274,2.45,92.712715,1726564188645,3.7,179.9,126794779000000,30.8,0,,,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,26,0.0,16431,205805932127101,235,29.250999450683594,-989.3044698210165,0.14999,16,-59704.731232409,0.0008999999845400453,1575420030,,,,0,10.617208213468665,1,6.0,29.250999450683594,0.0,0.0,0.0,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,31,0.0,47,205805931717112,487,20.871999740600586,-530.95818634339,0.14999,16,-31571.201776923936,0.009999999776482582,1575420030,,,,0,0.0,1,6.0,20.871999740600586,0.0,0.0,0.0,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,21,0.0,47,205805924958481,396,22.92099952697754,-720.4804171405789,0.14999,20,-43435.381109281254,0.004900000058114529,1575420030,,,,0,1.9940582638445306,1,6.0,22.92099952697754,0.0,0.0,0.0,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,16,0.0,47,205805927685398,235,28.461999893188477,-1418.6170306720292,0.14999,21,-84131.59506527089,0.0008999999845400453,1575420030,,,,0,9.63532319530852,1,6.0,28.461999893188477,0.0,0.0,0.0,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,19,0.0,47,205791920653706,396,24.783000946044922,-1241.9439697265625,0.14999,17,-75475.71575644182,0.004900000058114529,1561097980,,,,0,4.419230574229259,5,6.0,24.783000946044922,0.0,0.0,7.780371122373976,66.7128,I,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,38,0.0,47,205791874208611,74,31.899999618530273,-709.5562133789062,0.14999,17,-42331.30854379095,0.0006249999860301614,1561097980,,,,0,14.110017429899532,5,6.0,31.899999618530273,0.0,0.0,7.780371122373976,66.7128,I,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,2,0.0,16905,205791881697742,74,30.100000381469727,-865.0648803710938,0.14999,17,-52811.940912757535,0.0006249999860301614,1561097980,,,,0,12.117631781049205,5,6.0,30.100000381469727,0.0,0.0,7.780371122373976,66.7128,I,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,13,0.0,47,205791880967267,58,33.83100128173828,-816.3407592773438,0.14999,20,-49698.14350926259,0.00039999998989515007,1561097980,,,,0,15.151294392037322,5,6.0,33.83100128173828,0.0,0.0,7.780371122373976,66.7128,I,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,10,0.0,47,205805925309358,487,22.363000869750977,-383.89337295268786,0.14999,16,-28403.85421323962,0.009999999776482582,1575420030,,,,0,1.1159485498628974,1,6.0,22.363000869750977,0.0,0.0,0.0,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,36,0.0,47,205791925501722,235,25.389999389648438,-1248.1463623046875,0.14999,17,-62172.053290118,0.0008999999845400453,1561097980,,,,0,8.666181908760489,5,6.0,25.389999389648438,0.0,0.0,7.780371122373976,66.7128,I,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,14,0.0,17,332069,487,0.0,-1345.905483564057,0.14999,16,-82391.60718233362,0.009999999776482582,1598062460,,,,0,0.0,3,6.0,20.0,0.0,0.0,-33.91463797212561,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,3,0.0,17,899753,487,0.0,-1235.943175313903,0.14999,16,-71148.32617484425,0.009999999776482582,1604812540,,,,0,3.6065662399787173,3,6.0,19.0,0.0,0.0,-33.91463797212561,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,2,0.0,17,526827,316,0.0,-943.1938268639857,0.14999,16,-56136.554038917515,0.002025000052526593,1599750020,,,,0,4.170326980210547,3,6.0,24.0,0.0,0.0,-33.91463797212561,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,2,0.0,47,205805924222127,487,21.266000747680664,-861.4022199894264,0.14999,16,-51765.82008840838,0.009999999776482582,1575420030,,,,0,0.0,1,6.0,21.266000747680664,0.0,0.0,0.0,66.7128,C,
Raw,1726564188000,63624000000,18,83.58466463818874,-1410599342376999936,0.0,83.58466463818874,-2894.1382552262767,0.0,0,32,0.0,47,205805920789900,797,14.199999809265137,-739.3120109426071,0.14999,16,-50314.94187474289,0.02250000089406967,1575420030,,,,0,0.0,1,6.0,14.199999809265137,0.0,0.0,0.0,66.7128,C,
